acc_code,incident_datetime,report_datetime,province_th,province_en,agency,route,vehicle_type,presumed_cause,accident_type,number_of_vehicles_involved,number_of_fatalities,number_of_injuries,weather_condition,latitude,longitude,road_description,slope_description
5652876,2022-01-01T01:00:00Z,2022-02-01T10:39:00Z,นนทบุรี,Nonthaburi,department of highways,แคราย - คลองบ้านใหม่,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.92771509,100.5278474,straight road,no slope
5484851,2022-01-01T02:30:00Z,2022-01-02T02:43:00Z,สมุทรปราการ,Samut Prakan,department of highways,บางเมือง - บางพลี,4-wheel pickup truck,speeding,collision with obstruction (on road surface),2,1,0,clear,13.62035054,100.6429624,straight road,no slope
6566824,2022-01-01T02:30:00Z,2022-01-02T06:46:00Z,สมุทรสาคร,Samut Sakhon,department of rural roads,แยกทางหลวงชนบท สค.2006 (กม.ที่ 5+500) - บ้านหนองสองห้อง,motorcycle,driving under the influence of alcohol,other,1,0,1,clear,13.508206,100.069372,straight road,no slope
5485786,2022-01-01T02:43:00Z,2022-01-02T06:25:00Z,สมุทรปราการ,Samut Prakan,department of highways,แขวงคลองสองต้นนุ่น - พิมพา,large truck with trailer,vehicle equipment failure,rollover/fallen on straight road,1,0,0,clear,13.69683927,100.8266428,straight road,no slope
5493686,2022-01-01T05:30:00Z,2022-01-03T10:23:00Z,นนทบุรี,Nonthaburi,department of highways,ปากเกร็ด -  คลองประปา,motorcycle,speeding,rollover/fallen on straight road,1,1,0,clear,13.90283091,100.5332467,straight road,no slope
6566830,2022-01-01T05:30:00Z,2022-01-02T11:46:00Z,นนทบุรี,Nonthaburi,department of rural roads,แยกทางหลวงหมายเลข 9 (กม.ที่ 43+490) - อำเภอไทรน้อย,pedestrian,cutting in closely by people/vehicles/animals,other,1,0,1,clear,13.948447,100.350952,straight road,no slope
6243220,2022-01-01T07:22:00Z,2022-05-25T14:23:00Z,นนทบุรี,Nonthaburi,department of highways,แยกพงษ์เพชร - สะพานพระนั่งเกล้า,motorcycle,speeding,rollover/fallen on straight road,1,0,1,clear,13.85997375,100.5149326,straight road,no slope
6319547,2022-01-01T08:00:00Z,2022-06-06T14:27:00Z,กรุงเทพมหานคร,Bangkok,department of highways,อุดมสุข - สมุทรปราการ,private/passenger car,speeding,rollover/fallen on straight road,1,0,0,clear,13.66294667,100.6428444,straight road,no slope
5485027,2022-01-01T08:30:00Z,2022-01-02T03:28:00Z,สมุทรปราการ,Samut Prakan,expressway authority of thailand,บางพลี-สุขสวัสดิ์,other,other,rear-end collision,2,0,2,clear,13.632819,100.53706,straight road,other
6242422,2022-01-01T08:40:00Z,2022-05-24T15:03:00Z,นนทบุรี,Nonthaburi,department of highways,แคราย - คลองบ้านใหม่,motorcycle,speeding,rear-end collision,2,0,2,clear,13.93380946,100.534907,other,other
6319699,2022-01-01T09:00:00Z,2022-06-06T14:59:00Z,สมุทรปราการ,Samut Prakan,department of highways,ท้ายบ้าน - บางตำหรุ,private/passenger car,cutting in closely by people/vehicles/animals,rear-end collision,2,0,0,clear,13.53483017,100.6273332,straight road,no slope
6566892,2022-01-01T10:00:00Z,2022-07-18T10:21:00Z,กรุงเทพมหานคร,Bangkok,department of highways,บึงคำพร้อย - คู้บอน,4-wheel pickup truck,failure to yield/signal,rear-end collision,2,0,2,clear,13.86204141,100.6769916,connecting to private area,other
